top - 15:16:29 up  4:55,  1 user,  load average: 1.35, 1.30, 1.18
Tasks: 312 total,   2 running, 310 sleeping,   0 stopped,   0 zombie
%Cpu(s): 77.1 us, 18.6 sy,  0.0 ni,  4.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15882.5 total,   4284.5 free,   4082.5 used,   7515.5 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  10664.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  86283 aniketd+  20   0   32.5g 111120  84948 S 206.2   0.7   0:27.48 code
  90314 aniketd+  20   0  434852  34120  15500 S  81.2   0.2   0:00.26 tracker+
  86262 aniketd+  20   0   50.7g 261796 149632 R  31.2   1.6   0:23.74 code
   1870 aniketd+  20   0  689996 110212  61388 S  12.5   0.7   6:12.19 Xorg
   2009 aniketd+  20   0 4474432 381432 106648 S   6.2   2.3   9:50.53 gnome-s+
   8183 aniketd+  20   0 1667704 102132  50424 S   6.2   0.6   0:51.18 nautilus
  86313 aniketd+  20   0   36.6g 151252  70544 S   6.2   0.9   0:04.27 code
  90669 aniketd+  20   0   12228   4036   3288 R   6.2   0.0   0:00.02 top
      1 root      20   0  168316  11704   8296 S   0.0   0.1   0:05.28 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.81 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   0:10.60 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.06 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   0:31.35 ksoftir+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.78 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 migrati+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.74 ksoftir+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_fr+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     40 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungta+
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeba+
     43 root      20   0       0      0      0 S   0.0   0.0   0:00.37 kcompac+
     44 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     45 root      39  19       0      0      0 S   0.0   0.0   0:00.06 khugepa+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegr+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_p+
     98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-po+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq+
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
